Age,Gender,Ethnicity,Race,Semestrs,Credits,Suspic,MEAQ01,MEAQ02,MEAQ03,MEAQ04,MEAQ05,MEAQ06,MEAQ07,MEAQ08,MEAQ09,MEAQ10,MEAQ11,MEAQ12,MEAQ13,MEAQ14,MEAQ15,MEAQ16,MEAQ17,MEAQ18,MEAQ19,MEAQ20,MEAQ21,MEAQ22,MEAQ23,MEAQ24,MEAQ25,MEAQ26,MEAQ27,MEAQ28,MEAQ29,MEAQ30,MEAQ31,MEAQ32,MEAQ33,MEAQ34,MEAQ35,MEAQ36,MEAQ37,MEAQ38,MEAQ39,MEAQ40,MEAQ41,MEAQ42,MEAQ43,MEAQ44,MEAQ45,MEAQ46,MEAQ47,MEAQ48,MEAQ49,MEAQ50,MEAQ51,MEAQ52,MEAQ53,MEAQ54,MEAQ55,MEAQ56,MEAQ57,MEAQ58,MEAQ59,MEAQ60,MEAQ61,MEAQ62,MEAQ23RV,MEAQ30RV,MEAQ6RV,MEAQ12RV,MEAQ18RV,MEAQ24RV,MEAQ29RV,MEAQ37RV,MEAQ43RV,MEAQ48RV,MEAQ53RV,MEAQ57RV,MEAQ62RV,EADEVAL,EABEHAV,EADISTRA,EAREPRES,EAPROCRA,EATOLERA,EATOLREV,MEAQTOT,MEAQBV
23,0,0,2, ,16,0,5,4,4,4,3,5,1,1,5,1,3,6,5,5,5,5,1,5,6,4,1,6,4,6,6,5,4,1,5,4,6,1,6,5,6,4,5,5,3,5,3,4,4,1,2,5,2,2,2,2,3,3,5,6,2,4,4,2,3,3,6,6,3,3,2,1,2,1,2,2,3,5,2,3,1,55,34,35,41,20,53,24,209,49
19,0,0,1,2,12,0,4,4,4,3,4,4,3,2,4,1,4,4,4,3,4,2,3,3,4,3,2,4,4,5,3,4,3,2,4,5,5,3,4,4,3,4,4,3,4,3,3,5,4,3,3,2,3,4,1,3,3,3,5,3,3,3,5,3,3,2,3,4,3,2,3,3,4,2,3,3,3,3,2,2,3,45,35,26,30,25,46,31,192,49
18,0,0,1,0,15,0,6,2,2,2,6,6,2,1,3,1,5,6,1,3,3,1,6,4,3,3,1,3,6,6,1,1,1,1,6,6,6,1,3,5,1,6,5,6,3,2,1,1,6,2,2,1,6,5,1,1,3,3,5,3,2,1,5,1,2,1,2,3,1,1,1,1,3,1,1,2,1,2,2,2,4,35,27,17,16,31,57,20,146,27
20,0,1,1,4,9,0,6,5,4,3,3,4,2,3,3,2,3,3,4,4,3,2,2,3,4,3,3,3,5,6,3,4,3,3,4,5,4,3,3,4,1,3,5,6,3,2,4,3,5,4,3,2,3,6,1,3,6,2,2,3,3,2,3,3,6,1,5,5,2,2,3,4,4,1,3,2,2,1,5,4,2,50,44,21,28,19,46,31,193,50
19,0,0,1,2,12,0,5,6,6,4,6,4,3,4,4,5,5,4,6,4,5,4,5,4,4,6,5,6,4,4,4,4,6,5,3,2,5,4,6,4,5,6,4,6,4,5,4,5,3,5,5,5,5,3,4,5,4,3,3,5,4,3,3,3,4,4,4,5,3,5,3,3,3,3,4,3,4,4,4,4,2,60,48,38,54,37,40,37,274,68
22,0,1,6,6,15,0,6,4,6,1,6,2,2,1,3,1,4,4,4,2,1,1,5,6,3,3,1,4,6,6,2,5,3,1,6,5,4,4,2,2,1,4,6,5,2,2,1,3,6,4,4,1,5,6,4,2,2,1,6,2,2,1,6,2,1,1,3,6,1,2,5,3,1,1,1,1,1,1,1,1,1,39,32,21,16,29,60,17,154,36
18,0,0,1, ,12,0,5,3,4,4,4,4,2,3,4,1,4,3,4,4,4,2,5,2,4,2,3,4,2,4,4,4,4,2,4,4,5,3,4,5,2,4,4,3,3,4,4,4,3,3,3,3,4,2,2,2,4,4,4,4,4,3,4,2,4,2,4,4,5,3,3,4,5,3,3,3,4,5,3,3,3,45,39,28,37,28,38,39,216,51
20,0,0,1,2,15,0,6,4,5,3,5,4,2,2,5,1,5,4,3,4,4,4,5,3,3,3,2,4,4,4,2,3,4,2,4,3,3,4,4,3,3,4,4,3,3,5,2,4,4,3,5,3,5,4,2,3,4,2,5,3,4,2,5,2,5,2,2,5,3,4,3,3,4,3,3,3,3,3,2,2,2,36,43,31,31,32,46,31,204,51
18,1,0,1, ,12,0,4,4,3,5,6,6,1,1,4,4,5,4,5,4,5,4,6,1,1,5,3,4,4,3,2,4,3,5,2,2,5,2,5,2,3,6,2,6,5,5,5,5,3,3,5,3,6,2,3,2,1,4,2,4,4,3,2,2,3,5,6,4,3,5,1,3,6,4,5,5,4,5,5,5,3,43,38,29,50,39,31,46,245,55
20,0,0,2,5,12,0,6,6,4,1,5,5,4,5,6,1,6,6,5,6,6,4,1,6,6,6,1,6,6,6,1,3,5,1,1,6,6,6,6,1,1,5,4,1,1,3,1,1,1,2,1,1,1,4,1,1,6,1,5,6,1,1,6,1,1,1,6,5,1,1,2,1,1,1,6,3,6,3,2,1,2,46,42,36,16,20,49,28,188,44
